title,link,text,date,label
Reeskont faizlerinde değişiklik,/reeskont-faizlerinde-degisiklik-2337536,"Türkiye Cumhuriyet Merkez Bankası reeskont işlemlerinde uygulanacak iskonto faiz oranları ve avans işlemlerinde uygulanacak faiz oranlarıyla ilgili değişikliğe gitti. Resmi Gazete'de yayımlanan tebliğe göre, vadesine en çok 3 ay kalan senetler karşılığında yapılacak reeskont işlemlerinde uygulanacak iskonto faiz oranı yıllık yüzde 25,75 oldu. Avans işlemlerinde uygulanacak faiz oranı ise yıllık yüzde 26,75 olarak tespit edildi. Reeskont; iskonto edilmiş, diğer bir deyişle bir bedel karşılığı el değiştirmiş (iskonto) olan kıymetlerin, bir bedel karşılığında yeniden el değiştirmesini (reiskonto) ifade ediyor.  Merkez Bankası, bankacılık kesiminin geçici likidite ihtiyaçlarının karşılanması için, bankalar tarafından verilecek ticari senet ve vesikaları reeskonta kabul edebiliyor. Türkiye’de reeskont işlemindeki tüm koşul ve kurallar, Merkez Bankası tarafından belirlenir. Bu işlemler için Merkez Bankası tarafından uygulanan faize ""reeskont faiz oranı"" adı veriliyor. Merkez Bankası reeskonta kabul edebileceği senetler karşılığında avans da verebiliyor. Avans için teminat olarak alınan bu senetler; ticari senet ve belgeler, devlet tahvilleri ve Borsada kayıtlı tahviller.  ","01 Eylül 2023 Cuma, 00:12","['ASTOR : -1', 'ENJSA : 1', 'TCELL : 1', 'TTKOM : 1', 'OYAKC : -1', 'KONYA : 1', 'YBTAS : -1', 'EREGL : 1', 'KRDMD : 1', 'TOASO : 1', 'FROTO : 1', 'BIMAS : 1', 'SOKM : 0', 'ARCLK : 0', 'VESTL : -1', 'THYAO : 1', 'PGSUS : 1']"
Doğalgazda Eylül tarifesinde değişikliğe gidilmedi,/dogalgazda-eylul-tarifesinde-degisiklige-gidilmedi-2337537,"BOTAŞ'ın internet sitesinde yayımlanan tarife tablosuna göre, doğalgazda Eylül’de geçerli olacak mesken ve sanayi abonelerinin tarifesi ile elektrik üretim amaçlı tarife sabit kaldı. Buna göre, BOTAŞ'ın konut tüketicileri için dağıtım şirketlerine Eylül’de uygulayacağı satış fiyatı 1000 metreküp doğalgaz için 4 bin 80 lira olarak açıklandı. Sanayi abonelerinin tarifesi, kademe 1 için 1000 metreküp doğalgazda 7 bin 124 lira, kademe 2 için ise 9 bin 478 lira olarak belirlendi. Elektrik üretim amaçlı tarifede ise 1000 metreküp doğal gazın fiyatı 10 bin lira olarak duyuruldu. Doğalgazda fiyat tarifeleri aylık hesaplanıyor. Kurumun internet sitesinde yer alan duyuruda, ""Household Energy Price Index (HEPI) fiyatları esas alındığında halen konutlarda, Ukrayna'dan sonra Avrupa ülkeleri arasında en düşük doğal gaz fiyatı ülkemizde uygulanmaktadır"" ifadesi kullanıldı. ","01 Eylül 2023 Cuma, 00:19","['ASTOR : -1', 'ENJSA : 1', 'TCELL : 1', 'TTKOM : 1', 'OYAKC : -1', 'KONYA : 1', 'YBTAS : -1', 'EREGL : 1', 'KRDMD : 1', 'TOASO : 1', 'FROTO : 1', 'BIMAS : 1', 'SOKM : 0', 'ARCLK : 0', 'VESTL : -1', 'THYAO : 1', 'PGSUS : 1']"
Ekonomi ve siyaset gündemi -  1 Eylül 2023,/ekonomi-ve-siyaset-gundemi-1-eylul-2023-2337538,"1- Yeni adli yıl başlıyor - Yargıtay Başkanı Mehmet Akarca başkanlığındaki heyet, yeni adli yıl açılışı dolayısıyla Anıtkabir'i ziyaret edecek. 2023-2024 Adli Yıl Açılış Töreni Yargıtay'da yapılacak. Törene CHP Genel Başkanı Kemal Kılıçdaroğlu da katılacak. (Ankara/10.00/14.30)   EKONOMİ FİNANS 1- Ticaret Bakanı Ömer Bolat, Türkgözü Gümrük Kapısı'nın açılış programına katılacak. (Ardahan/14.00) 2- Ulaştırma ve Altyapı Bakanı Abdulkadir Uraloğlu, Yerli ve Milli Sürücüsüz İlk Metro Aracı'nın Teslim Töreni'ne iştirak edecek ve TEKNOFEST etkinlik alanına ziyarette bulunacak. (Ankara/10.30/16.30) 3- Dünyanın en büyük Havacılık, Uzay ve Teknoloji Festivali TEKNOFEST, Ankara Etimesgut Havaalanı'nda 3. gün etkinlikleriyle devam edecek.  (Ankara/09.20) 4- Türkiye İstatistik Kurumu, 2022 yılına ilişkin yetişkin eğitimi araştırmasını açıklayacak. (Ankara/10.00) 5- Türkiye Cumhuriyet Merkez Bankası, haftalık para ve banka istatistiklerini duyuracak. (Ankara/14.30)  ","01 Eylül 2023 Cuma, 06:31","['ASTOR : -1', 'ENJSA : 1', 'TCELL : 1', 'TTKOM : 1', 'OYAKC : -1', 'KONYA : 1', 'YBTAS : -1', 'EREGL : 1', 'KRDMD : 1', 'TOASO : 1', 'FROTO : 1', 'BIMAS : 1', 'SOKM : 0', 'ARCLK : 0', 'VESTL : -1', 'THYAO : 1', 'PGSUS : 1']"
Asya borsaları Çin'den gelen haberlerle yükseldi,/asya-borsalari-cin-den-gelen-haberlerle-yukseldi-2337539,"Asya-Pasifik piyasaları, Çin'in ağustos ayındaki fabrika faaliyetinin artması ve merkez bankasının ekonomiyi canlandırmak için zorunlu karşılıklarda kesinti yapacağını duyurmasıyla yükselişe geçti. Özel sektör anketine göre Çin anakarasındaki Şanghay Bileşik Endeksi yüzde 0,64 oranında, Shenzhen Bileşen Endeksi ise yüzde 0,82 oranında yükseliş kaydetti. Caixin/S&P küresel imalat satın alma yöneticileri endeksi Ağustos ayında, ekonomistlerin beklediği 49,3'ün üzerinde 51,0'a yükseldi. Yine Cuma günü Çin Merkez Bankası, 15 Eylül'den itibaren finansal kurumlara yönelik Döviz zorunlu karşılık oranını 200 baz puan azaltacağını duyurdu. Avustralya'da S&P/ASX 200 neredeyse yüzde 0,39 kayıp yaşadı. Güney Kore'de Kospi yatay çizginin biraz altında işlem görürken Kosdaq yüzde 0,56 düştü. Japonya'da Nikkei 225 yüzde 0,66 artış gösterdi. Hong Kong, Süper Tayfun Saola'ya hazırlanıyor ve Hang Seng endeksi, kötü hava koşulları yaklaşırken işlemleri duraklattı. Hong Kong Borsası kurallarına göre, açılış öncesi 8 veya üzeri bir sinyal verilirse işlemler durdurulacak ve saat 12:00'ye kadar devam edecek. Ülkenin dokuzuncu cumhurbaşkanını seçmek üzere sandık başına gitmesi nedeniyle Singapur'un finans piyasaları bugün kapalı olacak. ","01 Eylül 2023 Cuma, 06:47","['ASTOR : -1', 'ENJSA : 1', 'TCELL : 1', 'TTKOM : 1', 'OYAKC : -1', 'KONYA : 1', 'YBTAS : -1', 'EREGL : 1', 'KRDMD : 1', 'TOASO : 1', 'FROTO : 1', 'BIMAS : 1', 'SOKM : 0', 'ARCLK : 0', 'VESTL : -1', 'THYAO : 1', 'PGSUS : 1']"
Çin Merkez Bankası'ndan zorunlu karşılık hamlesi,/cin-merkez-bankasi-ndan-zorunlu-karsilik-hamlesi-2337540,"Dünyanın en büyük ikinci ekonomisinde sorunlu konut sektörü, azalan küresel talep ve yükselen işsizliğin yarattığı baskılara karşı bir dizi önlem açıklandı. Çin Merkez Bankası (PBOC) bu yıl ilk kez bankaların rezerv olarak tutması gereken Döviz mevduatı miktarını (zorunlu karşılık oranı) azaltacağını duyurdu. Buna göre finansal kurumların 15 Eylül’den itibaren tutması gereken rezerv oranı yüzde 6 seviyesinden yüzde 4’e düşürüldü.  ","01 Eylül 2023 Cuma, 06:53","['ASTOR : -1', 'ENJSA : 1', 'TCELL : 1', 'TTKOM : 1', 'OYAKC : -1', 'KONYA : 1', 'YBTAS : -1', 'EREGL : 1', 'KRDMD : 1', 'TOASO : 1', 'FROTO : 1', 'BIMAS : 1', 'SOKM : 0', 'ARCLK : 0', 'VESTL : -1', 'THYAO : 1', 'PGSUS : 1']"
Petrolde 9 ayın zirvesi görüldü,/petrolde-9-ayin-zirvesi-goruldu-2337544,"ABD ham petrolü bu hafta neredeyse yüzde 5 artışla varil başına 83 dolarla güne başlamasının ardından yükselişini sürdürerek 85 dolar seviyesine ulaştı. Böylece Kasım ayından beri ilk kez 85 dolar seviyesi görülmüş oldu. Rusya Başbakan Yardımcısı Alexander Novak'a göre Moskova, OPEC+ ortaklarıyla ihracatta daha fazla kesinti yapılması konusunda anlaştı ve ayrıntıları önümüzdeki hafta açıklanacak. Yatırımcılar Suudi Arabistan'dan da benzer bir açıklama bekliyor. Petrol İhraç Eden Ülkeler Topluluğu ve müttefiklerinin (OPEC+) piyasayı yeniden dengelemek için sevkiyatları azaltmasıyla ABD ham stokları daralıyor. Hükümetin bu haftaki rakamları, 10 milyon varilin üzerinde bir düşüş gösterdi ve bu da varlıkları Aralık ayından bu yana en düşük seviyeye indirdi. Petrolün bu haftaki yükselişi, ABD göstergesinin 2022 ortasından bu yana en uzun kazanç serisi olan üst üste üçüncü aylık kazancını sınırlamasına yardımcı oldu. Fiyatlara ek destek, Fed'in daha fazla faiz artışı yapmasına gerek kalmayacağı yönündeki spekülasyonlardan geldi. Öte yandan Asya'da Pekin, sarsılan ekonomisini desteklemek için daha fazla adım atarak enerji tüketimine ilişkin görünümü iyileştirdi. SDIC Essence Futures Co.'nun Pekin merkezli baş enerji analisti Gao Mingyu, Moskova ve OPEC+ müttefiki Riyad'ın hamlelerine atıfta bulunarak, ""Petrol piyasası hala sıkı arz mantığıyla işlem görüyor"" dedi. Gao'ya göre artık Çin ekonomisinde emlak sektörü de dahil olmak üzere bazı olumlu işaretler vardı. ","01 Eylül 2023 Cuma, 07:11","['ASTOR : -1', 'ENJSA : 1', 'TCELL : 1', 'TTKOM : 1', 'OYAKC : -1', 'KONYA : 1', 'YBTAS : -1', 'EREGL : 1', 'KRDMD : 1', 'TOASO : 1', 'FROTO : 1', 'BIMAS : 1', 'SOKM : 0', 'ARCLK : 0', 'VESTL : -1', 'THYAO : 1', 'PGSUS : 1']"
Benzine indirim geldi,/benzine-indirim-geldi-2337545,"Benzin fiyatlarında bugünden itibaren geçerli olmak üzere ortalama 98 kuruşluk indirime gidildi. İndirimin ardından İstanbul Avrupa yakasında benzinin litresi 36.80 liraya geriledi. Benzinin litresi Ankara'da 37.35 lira, İzmir'de 37.47 lira, Bursa'da 37.40 lira, Adana'da 37.80 lira, Antalya'da 37.98 lira, Diyarbakır'da ise 38.03 lira oldu. Motorin fiyatında bugün bir değişikliğe gidilmedi. ","01 Eylül 2023 Cuma, 07:58","['ASTOR : -1', 'ENJSA : 1', 'TCELL : 1', 'TTKOM : 1', 'OYAKC : -1', 'KONYA : 1', 'YBTAS : -1', 'EREGL : 1', 'KRDMD : 1', 'TOASO : 1', 'FROTO : 1', 'BIMAS : 1', 'SOKM : 0', 'ARCLK : 0', 'VESTL : -1', 'THYAO : 1', 'PGSUS : 1']"
BİM'de Dortluoğlu'na CEO'luk görevi,/bim-de-dortluoglu-na-ceo-luk-gorevi-2337546,"BİM'de üst düzey yönetimde kritik değişiklikler yaşandı. Şirketten Kamuyu Aydınlatma Platformu'na yapılan açıklamaya göre, CFO pozisyonundaki Haluk Dortluoğlu şirketin yeni CEO'su oldu. Değişiklikler şirketin yönetim kurulu ve icra kurulu başkanlıkları görevlerini yürüten Mustafa Latif Topbaş'ın şirketteki görevlerinden ayrılma kararı alması üzerine yaşandı. Şirketin yönetim kurulu 31 Ağustos 2023 tarihinde, boşalan yönetim kurulu üyeliğine Mahmud Muhammed Topbaş'ın atanmasına, İcra Kurulu Üyesi ve COO Galip Aykaç'ın yönetim kurulu üyeliğine atanmasına ve kendisinin şirketteki mevcut görevlerinden ayrılmasına karar verdi. Kurul Mahmud Muhammed Topbaş'ın Yönetim Kurulu Başkanı, Galip Aykaç'ın ise Yönetim Kurulu Başkan Yardımcısı olarak görevlendirilmesini kararlaştırdı. Şirket icra kurulunun lağvedilerek, CEO pozisyonunun ihdas edilmesine ve Haluk Dortluoğlu'nun CEO olarak atanmasına karar verdi. Söz konusu değişikliklerin 1 Eylül 2023 tarihi itibariyle geçerlilik kazanacağına karar verdi. ","01 Eylül 2023 Cuma, 08:43","['ASTOR : -1', 'ENJSA : 1', 'TCELL : 1', 'TTKOM : 1', 'OYAKC : -1', 'KONYA : 1', 'YBTAS : -1', 'EREGL : 1', 'KRDMD : 1', 'TOASO : 1', 'FROTO : 1', 'BIMAS : 1', 'SOKM : 0', 'ARCLK : 0', 'VESTL : -1', 'THYAO : 1', 'PGSUS : 1']"
AMB yetkilisi Holzmann'dan faiz mesajı,/amb-yetkilisi-holzmann-dan-faiz-mesaji-2337548,"Avrupa Merkez Bankası Yönetim Konseyi Üyesi Robert Holzmann, Euro Bölgesi’nde enflasyonun öngörülenden daha ısrarcı seyrettiğini ve AMB’nin bu nedenle faiz artışlarına bu ay ara vermemesi gerektiğini söyledi. China Global Television Network’e konuşan Holzmann, 14 Eylül’deki AMB toplantısına işaret ederek, mevduat faizinde yüzde 4’e çıkmanın “önemli” olacağını ve “sinyal etkisi” sağlayacağını belirtti. Holzmann, “En geç 2025’te faiz indirimine gideceğimizi umuyorum” dedi. AMB Başkan Yardımcısı Luis de Guindos’a göre de banka eylül kararı için hala bazı verileri görmek istiyor. Guindos, “Ekonomik büyümeye ilişkin tahminler haziran ayındaki tahminlerimizden daha kötü, enflasyon tahminleri ise haziran ayındaki tahminlerimize benzer” diye konuştu. ","01 Eylül 2023 Cuma, 08:49","['ASTOR : -1', 'ENJSA : 1', 'TCELL : 1', 'TTKOM : 1', 'OYAKC : -1', 'KONYA : 1', 'YBTAS : -1', 'EREGL : 1', 'KRDMD : 1', 'TOASO : 1', 'FROTO : 1', 'BIMAS : 1', 'SOKM : 0', 'ARCLK : 0', 'VESTL : -1', 'THYAO : 1', 'PGSUS : 1']"
Çin’den ekonomiyi canlandırma hamleleri,/cinden-ekonomi-ve-kura-destek-2337549,"Çin Merkez Bankası (PBOC) bu yıl ilk kez bankaların rezerv olarak tutması gereken Döviz mevduatı miktarını (zorunlu karşılık oranı) azaltacağını duyurdu. Buna göre finansal kurumların 15 Eylül’den itibaren tutması gereken rezerv oranı yüzde 6 seviyesinden yüzde 4’e düşürüldü. Buna ek olarak konut alımlarında ödenmesi geren peşinat tutarları düşürülürken, bankalardan mevcut mortgage faizlerini düşürmeleri istendi. Buna göre ülke çapında minimum peşinat, ilk kez konut alanlar için yüzde 20, ikinci kez konut alanlar için ise yüzde 30 olarak belirlenecek. Konut kredisi faizlerine yönelik indirimler ise bankalar ve müşteriler arasında müzakere edilecek. Her iki uygulama da 25 Eylül’de yürürlüğe girecek. Son olarak Çin, ülkenin hızla değişen hane halkı tüketimini artırmak amacıyla çocuk bakımı, ebeveyn bakımı ve çocukların eğitim harcamaları için kişisel gelir vergisi kesintilerini artırma kararı aldı. Australia & New Zealand Banking Group Ltd. Kıdemli Çin Stratejisti Zhaopeng Xing, “Politika paketi piyasa beklentilerinden daha kapsamlı. Yakın vadede güven artacaktır. Ancak yine de bir dönüm noktası olduğunu söylemek için daha fazla ipucu gerek” değerlendirmesini yaptı. ","01 Eylül 2023 Cuma, 09:00","['ASTOR : -1', 'ENJSA : 1', 'TCELL : 1', 'TTKOM : 1', 'OYAKC : -1', 'KONYA : 1', 'YBTAS : -1', 'EREGL : 1', 'KRDMD : 1', 'TOASO : 1', 'FROTO : 1', 'BIMAS : 1', 'SOKM : 0', 'ARCLK : 0', 'VESTL : -1', 'THYAO : 1', 'PGSUS : 1']"
