title,link,text,date,ASTOR,ENJSA,TCELL,TTKOM,OYAKC,KONYA,YBTAS,EREGL,KRDMD,TOASO,FROTO,BIMAS,SOKM,ARCLK,VESTL,THYAO,PGSUS,text_en
Reeskont faizlerinde değişiklik,/reeskont-faizlerinde-degisiklik-2337536,"Türkiye Cumhuriyet Merkez Bankası reeskont işlemlerinde uygulanacak iskonto faiz oranları ve avans işlemlerinde uygulanacak faiz oranlarıyla ilgili değişikliğe gitti. Resmi Gazete'de yayımlanan tebliğe göre, vadesine en çok 3 ay kalan senetler karşılığında yapılacak reeskont işlemlerinde uygulanacak iskonto faiz oranı yıllık yüzde 25,75 oldu. Avans işlemlerinde uygulanacak faiz oranı ise yıllık yüzde 26,75 olarak tespit edildi. Reeskont; iskonto edilmiş, diğer bir deyişle bir bedel karşılığı el değiştirmiş (iskonto) olan kıymetlerin, bir bedel karşılığında yeniden el değiştirmesini (reiskonto) ifade ediyor.  Merkez Bankası, bankacılık kesiminin geçici likidite ihtiyaçlarının karşılanması için, bankalar tarafından verilecek ticari senet ve vesikaları reeskonta kabul edebiliyor. Türkiye’de reeskont işlemindeki tüm koşul ve kurallar, Merkez Bankası tarafından belirlenir. Bu işlemler için Merkez Bankası tarafından uygulanan faize ""reeskont faiz oranı"" adı veriliyor. Merkez Bankası reeskonta kabul edebileceği senetler karşılığında avans da verebiliyor. Avans için teminat olarak alınan bu senetler; ticari senet ve belgeler, devlet tahvilleri ve Borsada kayıtlı tahviller.  ",2023-09-01,0,2,2,2,0,2,0,2,2,2,2,2,1,1,0,2,2,"The Central Bank of the Republic of Turkey has changed in terms of discount interest rates and interest rates to be applied to the reeskont transactions.According to the Communiqué published in the Official Gazette, the discount rate to be applied in the reeskont transactions to be held in exchange for the remaining 3 months in the maturity was 25.75 percent annually.The interest rate to be applied in advance transactions was determined as 26.75 percent annually.Rediscount;It refers to the re -change of hands (Reiskonto) in exchange for a price.In order to meet the temporary liquidity needs of the banking sector, the Central Bank can accept commercial bills and documents to be given by banks.All the conditions and rules in the guidance process in Turkey are determined by the Central Bank.For these transactions, the interest rate applied by the Central Bank is called ""Reeskont interest rate"".The Central Bank can also advance in exchange for the promissory notes that can be accepted by the Reeskonta.These promissory notes taken as collateral for advance;Commercial bills and documents, government bonds and bonds registered in the stock exchange."
Doğalgazda Eylül tarifesinde değişikliğe gidilmedi,/dogalgazda-eylul-tarifesinde-degisiklige-gidilmedi-2337537,"BOTAŞ'ın internet sitesinde yayımlanan tarife tablosuna göre, doğalgazda Eylül’de geçerli olacak mesken ve sanayi abonelerinin tarifesi ile elektrik üretim amaçlı tarife sabit kaldı. Buna göre, BOTAŞ'ın konut tüketicileri için dağıtım şirketlerine Eylül’de uygulayacağı satış fiyatı 1000 metreküp doğalgaz için 4 bin 80 lira olarak açıklandı. Sanayi abonelerinin tarifesi, kademe 1 için 1000 metreküp doğalgazda 7 bin 124 lira, kademe 2 için ise 9 bin 478 lira olarak belirlendi. Elektrik üretim amaçlı tarifede ise 1000 metreküp doğal gazın fiyatı 10 bin lira olarak duyuruldu. Doğalgazda fiyat tarifeleri aylık hesaplanıyor. Kurumun internet sitesinde yer alan duyuruda, ""Household Energy Price Index (HEPI) fiyatları esas alındığında halen konutlarda, Ukrayna'dan sonra Avrupa ülkeleri arasında en düşük doğal gaz fiyatı ülkemizde uygulanmaktadır"" ifadesi kullanıldı. ",2023-09-01,0,2,2,2,0,2,0,2,2,2,2,2,1,1,0,2,2,"According to the tariff table published on BOTAŞ's website, the tariff of the residential and industrial subscribers to be valid in natural gas in September remained constant.Accordingly, BOTAŞ will apply to distribution companies for housing consumers in September for 1000 cubic meters of natural gas 4 thousand 80 pounds announced.Industrial subscribers tariff, 1000 cubic meters of natural gas for 1000 cubic meters of 7 thousand 124 pounds, 9 thousand 478 pounds for 2 stages was determined.In the tariff for electricity generation, the price of 1000 cubic meters of natural gas was announced as 10 thousand pounds.Price tariffs in natural gas are calculated monthly.In the announcement on the website of the institution, ""Household Energy Price Index (HEPI) prices are still in residences, after Ukraine, the lowest natural gas price among European countries is applied in our country."""
Ekonomi ve siyaset gündemi -  1 Eylül 2023,/ekonomi-ve-siyaset-gundemi-1-eylul-2023-2337538,"1- Yeni adli yıl başlıyor - Yargıtay Başkanı Mehmet Akarca başkanlığındaki heyet, yeni adli yıl açılışı dolayısıyla Anıtkabir'i ziyaret edecek. 2023-2024 Adli Yıl Açılış Töreni Yargıtay'da yapılacak. Törene CHP Genel Başkanı Kemal Kılıçdaroğlu da katılacak. (Ankara/10.00/14.30)   EKONOMİ FİNANS 1- Ticaret Bakanı Ömer Bolat, Türkgözü Gümrük Kapısı'nın açılış programına katılacak. (Ardahan/14.00) 2- Ulaştırma ve Altyapı Bakanı Abdulkadir Uraloğlu, Yerli ve Milli Sürücüsüz İlk Metro Aracı'nın Teslim Töreni'ne iştirak edecek ve TEKNOFEST etkinlik alanına ziyarette bulunacak. (Ankara/10.30/16.30) 3- Dünyanın en büyük Havacılık, Uzay ve Teknoloji Festivali TEKNOFEST, Ankara Etimesgut Havaalanı'nda 3. gün etkinlikleriyle devam edecek.  (Ankara/09.20) 4- Türkiye İstatistik Kurumu, 2022 yılına ilişkin yetişkin eğitimi araştırmasını açıklayacak. (Ankara/10.00) 5- Türkiye Cumhuriyet Merkez Bankası, haftalık para ve banka istatistiklerini duyuracak. (Ankara/14.30)  ",2023-09-01,0,2,2,2,0,2,0,2,2,2,2,2,1,1,0,2,2,"1- The new judicial year begins - the delegation headed by the President of the Supreme Court Mehmet Akarca will visit Anıtkabir due to the opening of the new judicial year.The opening ceremony of the 2023-2024 judicial year will be held in the Supreme Court.CHP leader Kemal Kılıçdaroğlu will attend the ceremony.(Ankara/10.00/14.30) Economy Finance 1- Trade Minister Ömer Bolat will participate in the opening program of Türkgözü Customs Gate.(ARDAHAN/14.00) 2- Minister of Transport and Infrastructure Abdulkadir Uraloğlu will participate in the delivery ceremony of the first local and national driverless subway vehicle and visit the Teknofest event field.(Ankara/10.30/16.30) 3- The world's largest aviation, Space and Technology Festival Teknofest will continue with the 3rd day activities at Etimesgut Airport.(Ankara/09.20) 4- Turkish Statistical Institute will announce the adult education research for 2022.(Ankara/10.00) 5- The Central Bank of the Republic of Turkey will announce weekly money and bank statistics.(Ankara/14.30)"
Asya borsaları Çin'den gelen haberlerle yükseldi,/asya-borsalari-cin-den-gelen-haberlerle-yukseldi-2337539,"Asya-Pasifik piyasaları, Çin'in ağustos ayındaki fabrika faaliyetinin artması ve merkez bankasının ekonomiyi canlandırmak için zorunlu karşılıklarda kesinti yapacağını duyurmasıyla yükselişe geçti. Özel sektör anketine göre Çin anakarasındaki Şanghay Bileşik Endeksi yüzde 0,64 oranında, Shenzhen Bileşen Endeksi ise yüzde 0,82 oranında yükseliş kaydetti. Caixin/S&P küresel imalat satın alma yöneticileri endeksi Ağustos ayında, ekonomistlerin beklediği 49,3'ün üzerinde 51,0'a yükseldi. Yine Cuma günü Çin Merkez Bankası, 15 Eylül'den itibaren finansal kurumlara yönelik Döviz zorunlu karşılık oranını 200 baz puan azaltacağını duyurdu. Avustralya'da S&P/ASX 200 neredeyse yüzde 0,39 kayıp yaşadı. Güney Kore'de Kospi yatay çizginin biraz altında işlem görürken Kosdaq yüzde 0,56 düştü. Japonya'da Nikkei 225 yüzde 0,66 artış gösterdi. Hong Kong, Süper Tayfun Saola'ya hazırlanıyor ve Hang Seng endeksi, kötü hava koşulları yaklaşırken işlemleri duraklattı. Hong Kong Borsası kurallarına göre, açılış öncesi 8 veya üzeri bir sinyal verilirse işlemler durdurulacak ve saat 12:00'ye kadar devam edecek. Ülkenin dokuzuncu cumhurbaşkanını seçmek üzere sandık başına gitmesi nedeniyle Singapur'un finans piyasaları bugün kapalı olacak. ",2023-09-01,0,2,2,2,0,2,0,2,2,2,2,2,1,1,0,2,2,"Asia-Pacific markets, China's factory activity in August and the Central Bank announced that it would make deduction in necessary counterparts to revive the economy.According to the private sector survey, the Shanghai compound index in the Chinese mainland increased by 0.64 percent and the Shenzhen component index increased by 0.82 percent.Caixin/S&P global manufacturing purchasing managers index rose to 51.0 over 49.3 expected by economists in August.Again on Friday, the Chinese Central Bank announced that it will reduce the foreign exchange requirements for financial institutions as of September 15th.In Australia, S&P/ASX 200 experienced almost 0.39 percent loss.Kospi was traded slightly below the horizontal line in South Korea, while KOSDAQ fell 0.56 percent.In Japan, Nikkei increased by 0.66 percent of 225 percent.Hong Kong is preparing for the Super Tayfun Saola and the Hang Seng index paused the operations as bad weather conditions approached.According to the Hong Kong exchange rules, if a signal is given 8 or more before the opening, the transactions will be stopped and will continue until 12:00.Singapore's financial markets will be closed today because the country goes to the polls to choose the ninth president."
Çin Merkez Bankası'ndan zorunlu karşılık hamlesi,/cin-merkez-bankasi-ndan-zorunlu-karsilik-hamlesi-2337540,"Dünyanın en büyük ikinci ekonomisinde sorunlu konut sektörü, azalan küresel talep ve yükselen işsizliğin yarattığı baskılara karşı bir dizi önlem açıklandı. Çin Merkez Bankası (PBOC) bu yıl ilk kez bankaların rezerv olarak tutması gereken Döviz mevduatı miktarını (zorunlu karşılık oranı) azaltacağını duyurdu. Buna göre finansal kurumların 15 Eylül’den itibaren tutması gereken rezerv oranı yüzde 6 seviyesinden yüzde 4’e düşürüldü.  ",2023-09-01,0,2,2,2,0,2,0,2,2,2,2,2,1,1,0,2,2,"In the world's second largest economy, a series of measures have been announced against the pressures created by the problematic housing sector, decreasing global demand and rising unemployment.The Chinese Central Bank (PBOC) announced that for the first time this year, banks will reduce the amount of foreign exchange deposits that should be kept in reserve (the requirement rate).Accordingly, the reserve rate of financial institutions should be kept from 6 percent from 6 percent to 4 percent."
Petrolde 9 ayın zirvesi görüldü,/petrolde-9-ayin-zirvesi-goruldu-2337544,"ABD ham petrolü bu hafta neredeyse yüzde 5 artışla varil başına 83 dolarla güne başlamasının ardından yükselişini sürdürerek 85 dolar seviyesine ulaştı. Böylece Kasım ayından beri ilk kez 85 dolar seviyesi görülmüş oldu. Rusya Başbakan Yardımcısı Alexander Novak'a göre Moskova, OPEC+ ortaklarıyla ihracatta daha fazla kesinti yapılması konusunda anlaştı ve ayrıntıları önümüzdeki hafta açıklanacak. Yatırımcılar Suudi Arabistan'dan da benzer bir açıklama bekliyor. Petrol İhraç Eden Ülkeler Topluluğu ve müttefiklerinin (OPEC+) piyasayı yeniden dengelemek için sevkiyatları azaltmasıyla ABD ham stokları daralıyor. Hükümetin bu haftaki rakamları, 10 milyon varilin üzerinde bir düşüş gösterdi ve bu da varlıkları Aralık ayından bu yana en düşük seviyeye indirdi. Petrolün bu haftaki yükselişi, ABD göstergesinin 2022 ortasından bu yana en uzun kazanç serisi olan üst üste üçüncü aylık kazancını sınırlamasına yardımcı oldu. Fiyatlara ek destek, Fed'in daha fazla faiz artışı yapmasına gerek kalmayacağı yönündeki spekülasyonlardan geldi. Öte yandan Asya'da Pekin, sarsılan ekonomisini desteklemek için daha fazla adım atarak enerji tüketimine ilişkin görünümü iyileştirdi. SDIC Essence Futures Co.'nun Pekin merkezli baş enerji analisti Gao Mingyu, Moskova ve OPEC+ müttefiki Riyad'ın hamlelerine atıfta bulunarak, ""Petrol piyasası hala sıkı arz mantığıyla işlem görüyor"" dedi. Gao'ya göre artık Çin ekonomisinde emlak sektörü de dahil olmak üzere bazı olumlu işaretler vardı. ",2023-09-01,0,2,2,2,0,2,0,2,2,2,2,2,1,1,0,2,2,"The US crude oil increased by almost 5 percent this week with an increase in $ 83 per barrel and continued to rise to the level of $ 85.Thus, for the first time since November, $ 85 has been seen.According to Russian Deputy Prime Minister Alexander Novak, Moscow has agreed to make more deduction with OPEC+ partners in exports and its details will be announced next week.Investors expect a similar explanation from Saudi Arabia.The US raw stocks are narrowing by reducing shipments to re -balance the market and allies (OPEC+).This week's figures have decreased by over 10 million barrels, which has reduced assets to the lowest level since December.This week's rise of oil has helped limit the third monthly earnings of the US indicator since the mid -2022.Additional support to prices came from speculation that the FED would not need to increase more interest rates.On the other hand, Beijing in Asia improved the appearance of energy consumption by taking more steps to support its shaken economy.SDIC ESSENCE FUTURES CO.'nun Beijing -based chief energy analyst Gao Mingyu, Moscow and OPEC+ ally Riyad'ın referring to the moves, ""the oil market is still traded with strict supply logic,"" he said.According to GAO, there were now some positive signs in the Chinese economy, including the real estate sector."
Benzine indirim geldi,/benzine-indirim-geldi-2337545,"Benzin fiyatlarında bugünden itibaren geçerli olmak üzere ortalama 98 kuruşluk indirime gidildi. İndirimin ardından İstanbul Avrupa yakasında benzinin litresi 36.80 liraya geriledi. Benzinin litresi Ankara'da 37.35 lira, İzmir'de 37.47 lira, Bursa'da 37.40 lira, Adana'da 37.80 lira, Antalya'da 37.98 lira, Diyarbakır'da ise 38.03 lira oldu. Motorin fiyatında bugün bir değişikliğe gidilmedi. ",2023-09-01,0,2,2,2,0,2,0,2,2,2,2,2,1,1,0,2,2,"Average 98 cents was reduced to gasoline prices as of today.After the discount on the European side of Istanbul gasoline liter 36.80 pounds fell.37.35 pounds in Ankara, 37.47 pounds in Izmir, 37.40 pounds in Bursa, 37.80 pounds in Adana, 37.98 pounds in Antalya, Diyarbakir was 38.03 pounds.There was no change in the price of the diesel today."
BİM'de Dortluoğlu'na CEO'luk görevi,/bim-de-dortluoglu-na-ceo-luk-gorevi-2337546,"BİM'de üst düzey yönetimde kritik değişiklikler yaşandı. Şirketten Kamuyu Aydınlatma Platformu'na yapılan açıklamaya göre, CFO pozisyonundaki Haluk Dortluoğlu şirketin yeni CEO'su oldu. Değişiklikler şirketin yönetim kurulu ve icra kurulu başkanlıkları görevlerini yürüten Mustafa Latif Topbaş'ın şirketteki görevlerinden ayrılma kararı alması üzerine yaşandı. Şirketin yönetim kurulu 31 Ağustos 2023 tarihinde, boşalan yönetim kurulu üyeliğine Mahmud Muhammed Topbaş'ın atanmasına, İcra Kurulu Üyesi ve COO Galip Aykaç'ın yönetim kurulu üyeliğine atanmasına ve kendisinin şirketteki mevcut görevlerinden ayrılmasına karar verdi. Kurul Mahmud Muhammed Topbaş'ın Yönetim Kurulu Başkanı, Galip Aykaç'ın ise Yönetim Kurulu Başkan Yardımcısı olarak görevlendirilmesini kararlaştırdı. Şirket icra kurulunun lağvedilerek, CEO pozisyonunun ihdas edilmesine ve Haluk Dortluoğlu'nun CEO olarak atanmasına karar verdi. Söz konusu değişikliklerin 1 Eylül 2023 tarihi itibariyle geçerlilik kazanacağına karar verdi. ",2023-09-01,0,2,2,2,0,2,0,2,2,2,2,2,1,1,0,2,2,"There were critical changes in senior management in BİM.According to a statement from the company to Public Disclosure Platform, Haluk Dortluoğlu, in the CFO position, became the new CEO of the company.The changes took place upon Mustafa Latif Topbaş, who served as the Board of Directors and Executive Board of the company, decided to leave their duties in the company.On August 31, 2023, the Board of Directors of the Company decided to appoint Mahmud Muhammed Topbaş as a member of the Board of Directors, to be appointed as a member of the Board of Directors of the Executive Board Member and Coo Galip Aykaç and to leave his current duties in the company.Board Mahmud Muhammed Topbaş decided to be appointed as the Chairman of the Board of Directors and Galip Aykaç will be appointed as the Vice Chairman of the Board.The company decided to abolish the executive committee and to establish the CEO position and to appoint Haluk Dortluoğlu as CEO.He decided that the amendments will be valid as of September 1, 2023."
AMB yetkilisi Holzmann'dan faiz mesajı,/amb-yetkilisi-holzmann-dan-faiz-mesaji-2337548,"Avrupa Merkez Bankası Yönetim Konseyi Üyesi Robert Holzmann, Euro Bölgesi’nde enflasyonun öngörülenden daha ısrarcı seyrettiğini ve AMB’nin bu nedenle faiz artışlarına bu ay ara vermemesi gerektiğini söyledi. China Global Television Network’e konuşan Holzmann, 14 Eylül’deki AMB toplantısına işaret ederek, mevduat faizinde yüzde 4’e çıkmanın “önemli” olacağını ve “sinyal etkisi” sağlayacağını belirtti. Holzmann, “En geç 2025’te faiz indirimine gideceğimizi umuyorum” dedi. AMB Başkan Yardımcısı Luis de Guindos’a göre de banka eylül kararı için hala bazı verileri görmek istiyor. Guindos, “Ekonomik büyümeye ilişkin tahminler haziran ayındaki tahminlerimizden daha kötü, enflasyon tahminleri ise haziran ayındaki tahminlerimize benzer” diye konuştu. ",2023-09-01,0,2,2,2,0,2,0,2,2,2,2,2,1,1,0,2,2,"Robert Holzmann, a member of the European Central Bank Management Council, said that inflation in the Eurozone is more insistent than envisaged and that the ECB should not take a break from this month.Speaking to China Global Television Network, Holzmann pointed out the EUB meeting on September 14, and said that deposit interest would be “important ve and a“ signal effect ..Holzmann, ""I hope we will go to interest rate reduction at 2025 at the latest,"" he said.According to EMB Vice President Luis de Guindos, the bank still wants to see some data for the September decision.“Economic growth forecasts are worse than our forecasts in June, and inflation forecasts are similar to our forecasts in June, Gu said Guindos."
Çin’den ekonomiyi canlandırma hamleleri,/cinden-ekonomi-ve-kura-destek-2337549,"Çin Merkez Bankası (PBOC) bu yıl ilk kez bankaların rezerv olarak tutması gereken Döviz mevduatı miktarını (zorunlu karşılık oranı) azaltacağını duyurdu. Buna göre finansal kurumların 15 Eylül’den itibaren tutması gereken rezerv oranı yüzde 6 seviyesinden yüzde 4’e düşürüldü. Buna ek olarak konut alımlarında ödenmesi geren peşinat tutarları düşürülürken, bankalardan mevcut mortgage faizlerini düşürmeleri istendi. Buna göre ülke çapında minimum peşinat, ilk kez konut alanlar için yüzde 20, ikinci kez konut alanlar için ise yüzde 30 olarak belirlenecek. Konut kredisi faizlerine yönelik indirimler ise bankalar ve müşteriler arasında müzakere edilecek. Her iki uygulama da 25 Eylül’de yürürlüğe girecek. Son olarak Çin, ülkenin hızla değişen hane halkı tüketimini artırmak amacıyla çocuk bakımı, ebeveyn bakımı ve çocukların eğitim harcamaları için kişisel gelir vergisi kesintilerini artırma kararı aldı. Australia & New Zealand Banking Group Ltd. Kıdemli Çin Stratejisti Zhaopeng Xing, “Politika paketi piyasa beklentilerinden daha kapsamlı. Yakın vadede güven artacaktır. Ancak yine de bir dönüm noktası olduğunu söylemek için daha fazla ipucu gerek” değerlendirmesini yaptı. ",2023-09-01,0,2,2,2,0,2,0,2,2,2,2,2,1,1,0,2,2,"The Chinese Central Bank (PBOC) announced that for the first time this year, banks will reduce the amount of foreign exchange deposits that should be kept in reserve (the requirement rate).Accordingly, the reserve rate of financial institutions should be kept from 6 percent from 6 percent to 4 percent.In addition, while the down payment amounts were reduced in housing purchases, banks were asked to reduce their existing mortgage interest rates.Accordingly, minimum down payment throughout the country, 20 percent for residential areas for the first time, the second time for housing areas will be determined as 30 percent.Discounts on housing loan interest rates will be negotiated between banks and customers.Both applications will enter into force on September 25th.Finally, China has decided to increase personal income tax cuts for child care, parent care and children's educational expenditures in order to increase the consumption of the rapidly changing households of the country.Australia & New Zealand Banking Group Ltd.“The policy package is more comprehensive than market expectations.Confidence will increase in the near term.However, it still needs more tips to say that it is a turning point ”."
