Stock_Code,Date,Last_Price,Volume,PD,PD_USD,USD_Based_AOF,Changes_Percentage,Change_Status
ARCLK,01-09-2023,159.1478,739432986.0,109400392265.18234,4093345615.76502,5.9649,-0.55,0
ARCLK,04-09-2023,156.2971,908568441.0,107440784595.0,4011514148.66091,5.9498,-1.79,-1
ARCLK,05-09-2023,157.3784,772076718.0,108184089744.81766,4035409764.17423,5.8374,0.69,0
ARCLK,06-09-2023,155.4124,1088422232.0,106832633334.81766,3983572162.84469,5.8513,-1.25,-1
ARCLK,07-09-2023,157.9682,668331927.0,108589520481.34117,4043835552.74219,5.8597,1.64,1
ARCLK,08-09-2023,159.7376,718803840.0,109805833312.5,4088536817.68254,5.9191,1.12,1
ARCLK,11-09-2023,155.2158,621949115.0,106697479445.18234,3967968383.62579,5.8822,-2.83,-1
ARCLK,12-09-2023,155.8056,725347898.0,107102920492.5,3980544568.71177,5.7843,0.38,0
ARCLK,13-09-2023,154.2328,1010795719.0,106021751240.18234,3933885370.81071,5.8219,-1.01,-1
ARCLK,14-09-2023,159.0495,921338014.0,109332825631.15883,4056063928.97745,5.7794,3.12,1
ARCLK,15-09-2023,159.8359,1942612844.0,109873410257.31766,4072628584.14358,5.9246,0.49,0
ARCLK,18-09-2023,151.8736,653043456.0,104400007672.5,3862375422.58602,5.7369,-4.98,-1
ARCLK,19-09-2023,153.5447,607463358.0,105548743558.84117,3903083437.81769,5.6375,1.1,1
ARCLK,20-09-2023,151.4804,724617509.0,104129720514.81766,3851008170.04755,5.6936,-1.34,-1
ARCLK,21-09-2023,155.609,564095297.0,106967776913.65883,3954344135.77685,5.6304,2.73,1
ARCLK,22-09-2023,154.0362,606992033.0,105886607661.34117,3899657039.47074,5.7072,-1.01,-1
ARCLK,25-09-2023,157.2,595445454.0,106224471763.84117,3901868636.6383,5.7478,2.05,1
ARCLK,26-09-2023,154.3,569419158.0,104264864093.65883,3824857999.45923,5.7292,-1.84,-1
ARCLK,27-09-2023,154.3,600613056.0,104264864093.65883,3817394001.18108,5.652,0.0,0
ARCLK,28-09-2023,153.6,520295048.0,103791856412.31766,3784639880.84806,5.6245,-0.45,0
ARCLK,29-09-2023,163.0,1927596089.0,110143697415.0,4016032137.93481,5.8556,6.12,1
