Stock_Code,Date,Last_Price,Volume,PD,PD_USD,USD_Based_AOF,Changes_Percentage,Change_Status
ASTOR,01-09-2023,141.8,7706049810.0,141516403045.6543,5295004304.5698,5.3386,-1.53,-1
ASTOR,04-09-2023,144.9,8712151958.0,144610193908.6914,5399307545.00754,5.4986,2.19,1
ASTOR,05-09-2023,143.9,6454091690.0,143612193908.6914,5356924950.06067,5.3677,-0.69,0
ASTOR,06-09-2023,141.5,4095472721.0,141217000000.0,5265695439.30823,5.3418,-1.67,-1
ASTOR,07-09-2023,143.5,3496025014.0,143213000000.0,5333201753.24264,5.2494,1.41,1
ASTOR,08-09-2023,143.9,5413435001.0,143612193908.6914,5347290982.19054,5.3662,0.28,0
ASTOR,11-09-2023,139.0,3852531050.0,138722000000.0,5158927024.10217,5.3274,-3.41,-1
ASTOR,12-09-2023,140.6,5705645225.0,140318806091.3086,5215032969.28295,5.2531,1.15,1
ASTOR,13-09-2023,136.3,4502621189.0,136027403045.6543,5047230446.6884,5.1963,-3.06,-1
ASTOR,14-09-2023,139.4,4080949242.0,139121193908.6914,5161162286.91436,4.9778,2.27,1
ASTOR,15-09-2023,139.0,3558468565.0,138722000000.0,5141946364.69781,5.1266,-0.29,0
ASTOR,18-09-2023,131.0,2694248625.0,130738000000.0,4836773954.86496,5.0285,-5.76,-1
ASTOR,19-09-2023,136.4,4541317059.0,136127193908.6914,5033842924.76597,5.0079,4.12,1
ASTOR,20-09-2023,131.9,3126558254.0,131636193908.6914,4868274453.34589,5.0102,-3.3,-1
ASTOR,21-09-2023,140.5,5680568106.0,140219000000.0,5183562717.41582,5.0444,6.52,1
ASTOR,22-09-2023,139.4,7772116306.0,139121193908.6914,5123640799.79565,5.2584,-0.78,0
ASTOR,25-09-2023,141.1,4276084787.0,140817806091.3086,5172561199.3575,5.2247,1.22,1
ASTOR,26-09-2023,136.5,3271485622.0,136227000000.0,4997358748.04657,5.0798,-3.26,-1
ASTOR,27-09-2023,137.3,3457832842.0,137025403045.6543,5016838185.54665,5.0406,0.59,0
ASTOR,28-09-2023,133.3,2821022349.0,133033403045.6543,4850896207.61196,4.906,-2.91,-1
ASTOR,29-09-2023,133.3,3986363685.0,133033403045.6543,4850630899.35296,4.9056,0.0,0
