Stock_Code,Date,Last_Price,Volume,PD,PD_USD,USD_Based_AOF,Changes_Percentage,Change_Status
BIMAS,01-09-2023,259.2,1412431927.0,157386247412.10938,5888793380.78115,9.6419,2.78,1
BIMAS,04-09-2023,262.4,1702537479.0,159329276293.9453,5948873591.70317,9.829,1.23,1
BIMAS,05-09-2023,264.2,1132108572.0,160422247412.10938,5983962199.29013,9.7707,0.69,0
BIMAS,06-09-2023,258.8,1256269582.0,157143352587.89062,5859556817.09469,9.7081,-2.04,-1
BIMAS,07-09-2023,273.0,2694102029.0,165765600000.0,6173052645.69081,9.9869,5.49,1
BIMAS,08-09-2023,270.0,1250150682.0,163944000000.0,6104330342.18267,10.0724,-1.1,-1
BIMAS,11-09-2023,270.0,1317877890.0,163944000000.0,6096906994.12786,10.0689,0.0,0
BIMAS,12-09-2023,270.5,1802126636.0,164247600000.0,6104361011.79636,10.0495,0.19,0
BIMAS,13-09-2023,270.0,1905236505.0,163944000000.0,6083062161.18942,10.0482,-0.18,0
BIMAS,14-09-2023,273.9,2051165337.0,166312076293.9453,6169898287.31702,10.0003,1.44,1
BIMAS,15-09-2023,270.0,2614007814.0,163944000000.0,6076838964.36051,10.2724,-1.42,-1
BIMAS,18-09-2023,268.0,1591155158.0,162729600000.0,6020332963.37403,9.94,-0.74,0
BIMAS,19-09-2023,276.1,1735346747.0,167647923706.0547,6199446931.70927,10.1229,3.02,1
BIMAS,20-09-2023,270.0,1084274282.0,163944000000.0,6063107442.41779,10.0906,-2.21,-1
BIMAS,21-09-2023,275.7,1173459032.0,167405047412.10938,6188566189.12299,10.0938,2.11,1
BIMAS,22-09-2023,273.4,957027849.0,166008476293.9453,6113862153.95633,10.101,-0.83,0
BIMAS,25-09-2023,277.7,1241627724.0,168619447412.10938,6193779290.77687,10.0893,1.57,1
BIMAS,26-09-2023,275.4,1322593682.0,167222876293.9453,6134413175.95673,10.119,-0.83,0
BIMAS,27-09-2023,270.0,1228764637.0,163944000000.0,6002394455.40784,9.9269,-1.96,-1
BIMAS,28-09-2023,270.0,1098869165.0,163944000000.0,5978012361.20987,9.8587,0.0,0
BIMAS,29-09-2023,274.7,1625277004.0,166797847412.10938,6081741683.51598,9.9865,1.74,1
