Stock_Code,Date,Last_Price,Volume,PD,PD_USD,USD_Based_AOF,Changes_Percentage,Change_Status
ENJSA,01-09-2023,52.95,1157597509.0,62537602710.0881,2339918683.77664,1.9725,3.32,1
ENJSA,04-09-2023,51.55,984029561.0,60884104353.95188,2273228429.64227,1.9577,-2.64,-1
ENJSA,05-09-2023,51.3,663897281.0,60588837112.17188,2260043833.23965,1.8951,-0.48,0
ENJSA,06-09-2023,51.4,944506271.0,60706946712.13622,2263638885.09474,1.9293,0.19,0
ENJSA,07-09-2023,55.25,1740380735.0,65254060433.38,2430038261.25773,2.0145,7.49,1
ENJSA,08-09-2023,53.6,1065718778.0,63305294835.46377,2357124579.64269,2.022,-2.99,-1
ENJSA,11-09-2023,53.5,965037157.0,63187189740.91999,2349865924.1613,2.0277,-0.19,0
ENJSA,12-09-2023,53.3,712402259.0,62950975046.41188,2339610915.03244,1.9887,-0.37,0
ENJSA,13-09-2023,51.7,686585320.0,61061266501.1881,2265648512.70971,1.9547,-3.0,-1
ENJSA,14-09-2023,52.3,701593048.0,61769906079.29189,2291559616.22873,1.8844,1.16,1
ENJSA,15-09-2023,50.2,558687397.0,59289663050.5081,2197663437.57096,1.894,-4.02,-1
ENJSA,18-09-2023,49.16,548838399.0,58061350243.40237,2148033675.3016,1.842,-2.07,-1
ENJSA,19-09-2023,49.4,587559373.0,58344808777.89622,2157530721.30788,1.8196,0.49,0
ENJSA,20-09-2023,48.52,491054834.0,57305466825.31286,2119316366.56285,1.8123,-1.78,-1
ENJSA,21-09-2023,50.85,641623736.0,60057355175.88377,2220177488.04592,1.8256,4.8,1
ENJSA,22-09-2023,52.6,765387238.0,62124225868.34377,2287949156.93202,1.904,3.44,1
ENJSA,25-09-2023,53.6,848020478.0,63305294835.46377,2325348767.09755,1.9617,1.9,1
ENJSA,26-09-2023,52.55,740254073.0,62065173321.07188,2276802226.02777,1.9392,-1.96,-1
ENJSA,27-09-2023,51.55,456763703.0,60884104353.95188,2229117322.9678,1.91,-1.9,-1
ENJSA,28-09-2023,51.65,512603733.0,61002213953.91622,2224369230.2108,1.8911,0.19,0
ENJSA,29-09-2023,51.75,665394603.0,61120319048.45999,2228553892.23583,1.901,0.19,0
