Stock_Code,Date,Last_Price,Volume,PD,PD_USD,USD_Based_AOF,Changes_Percentage,Change_Status
EREGL,01-09-2023,44.06,5991172727.0,154210004806.51855,5769950491.14428,1.6397,2.42,1
EREGL,04-09-2023,44.1,5607255738.0,154349994659.42383,5762962265.73563,1.6635,0.09,0
EREGL,05-09-2023,46.0,8290657537.0,161000000000.0,6005513135.66118,1.6612,4.31,1
EREGL,06-09-2023,46.46,8797847830.0,162609996795.6543,6063396889.27539,1.7382,1.0,0
EREGL,07-09-2023,48.3,9734324570.0,169049997329.7119,6295362447.15552,1.7775,3.96,1
EREGL,08-09-2023,47.5,4586472632.0,166250000000.0,6190192501.02394,1.7805,-1.66,-1
EREGL,11-09-2023,46.32,5256570695.0,162119998931.88477,6029074289.85391,1.7614,-2.48,-1
EREGL,12-09-2023,45.6,4678547859.0,159599994659.42383,5931629959.17075,1.7058,-1.55,-1
EREGL,13-09-2023,43.92,4815453829.0,153719993591.3086,5703705389.85001,1.6678,-3.68,-1
EREGL,14-09-2023,44.02,4083884722.0,154070001602.17285,5715737907.88387,1.6104,0.23,0
EREGL,15-09-2023,44.0,5552961330.0,154000000000.0,5708249161.36924,1.6507,-0.05,0
EREGL,18-09-2023,42.24,3360728345.0,147840005874.6338,5469478574.71823,1.5921,-4.0,-1
EREGL,19-09-2023,42.32,3842770838.0,148119998931.88477,5477324458.32784,1.5631,0.19,0
EREGL,20-09-2023,41.0,3890267340.0,143500000000.0,5307031169.10013,1.5465,-3.12,-1
EREGL,21-09-2023,41.74,5384394431.0,146090005874.6338,5400599831.96863,1.5158,1.8,1
EREGL,22-09-2023,43.28,6454630569.0,151479995727.53906,5578798345.9363,1.5713,3.69,1
EREGL,25-09-2023,46.32,10197271450.0,162119998931.88477,5955039631.64431,1.6696,7.02,1
EREGL,26-09-2023,44.68,5230913047.0,156380001068.11523,5736652545.80427,1.6633,-3.54,-1
EREGL,27-09-2023,44.4,3954468565.0,155400005340.57617,5689577724.26331,1.6284,-0.63,0
EREGL,28-09-2023,44.62,3184252855.0,156169996261.59668,5694543064.10679,1.6312,0.5,0
EREGL,29-09-2023,44.52,3640377649.0,155820001602.17285,5681470196.24345,1.6308,-0.22,0
