Stock_Code,Date,Last_Price,Volume,PD,PD_USD,USD_Based_AOF,Changes_Percentage,Change_Status
FROTO,01-09-2023,888.5232,2145244798.0,323117923716.43066,12089840895.75965,32.4429,6.73,1
FROTO,04-09-2023,868.4523,1376237785.0,315819000000.0,11791726872.54276,32.7389,-2.26,-1
FROTO,05-09-2023,861.8907,1289943100.0,313432816283.56934,11691458977.25624,31.8115,-0.76,0
FROTO,06-09-2023,848.1884,1166948232.0,308449890000.0,11501470637.58702,31.7769,-1.59,-1
FROTO,07-09-2023,849.1533,1108652527.0,308800800000.0,11499633189.46416,31.6174,0.11,0
FROTO,08-09-2023,874.1455,1644611682.0,317889377567.1387,11836369570.95501,32.1676,2.94,1
FROTO,11-09-2023,858.7064,1339514555.0,312274817567.1387,11613175958.34608,32.165,-1.77,-1
FROTO,12-09-2023,844.3286,1394834173.0,307046250000.0,11411558874.03091,31.6615,-1.67,-1
FROTO,13-09-2023,842.2057,1236600719.0,306274243716.43066,11364156436.94387,31.3834,-0.25,0
FROTO,14-09-2023,879.0667,1693954623.0,319679010000.0,11859553558.84164,31.6922,4.38,1
FROTO,15-09-2023,842.6882,1204076984.0,306449698716.43066,11359033998.05144,31.6782,-4.14,-1
FROTO,18-09-2023,817.3101,962218579.0,297220770000.0,10995958934.5172,30.5999,-3.01,-1
FROTO,19-09-2023,813.3538,954079925.0,295782047567.1387,10937714388.04021,30.2134,-0.48,0
FROTO,20-09-2023,797.2392,1419589942.0,289921846283.56934,10722120382.09032,29.8201,-1.98,-1
FROTO,21-09-2023,819.7225,1310793021.0,298098045000.0,11019975268.66218,29.686,2.82,1
FROTO,22-09-2023,809.9765,1079828767.0,294553862567.1387,10848010612.79642,30.0089,-1.19,-1
FROTO,25-09-2023,820.3979,1359129532.0,298343686283.56934,10958848306.03766,29.838,1.29,1
FROTO,26-09-2023,805.7307,1183137932.0,293009850000.0,10748789426.18801,29.8962,-1.79,-1
FROTO,27-09-2023,800.0375,866354890.0,290939472432.8613,10652012127.25254,29.5087,-0.71,0
FROTO,28-09-2023,804.4763,1255861767.0,292553671283.56934,10667602737.8282,29.5351,0.55,0
FROTO,29-09-2023,815.3802,1269722107.0,296518950000.0,10811600306.27872,29.7121,1.36,1
