Stock_Code,Date,Last_Price,Volume,PD,PD_USD,USD_Based_AOF,Changes_Percentage,Change_Status
KONYA,01-09-2023,5935.3999,325491818.0,28925815300.07813,1082293735.78477,223.0565,1.15,1
KONYA,04-09-2023,5670.0,323972585.0,27632404800.0,1031710474.14228,215.9604,-4.47,-1
KONYA,05-09-2023,5700.0,272588042.0,27778608000.0,1036178852.38747,212.6685,0.53,0
KONYA,06-09-2023,5824.3999,431362807.0,28384863460.07813,1058413973.29727,216.9935,2.18,1
KONYA,07-09-2023,5950.0,545950212.0,28996968000.0,1079836890.34041,222.5761,2.16,1
KONYA,08-09-2023,5693.6001,256093049.0,27747418459.92188,1033154055.17824,215.724,-4.31,-1
KONYA,11-09-2023,5415.0,226594280.0,26389677600.0,981404686.55284,208.0076,-4.89,-1
KONYA,12-09-2023,5451.2002,285308620.0,26566097079.84375,987345003.82225,206.3291,0.67,0
KONYA,13-09-2023,5367.8999,189127452.0,26160138100.07813,970659165.374,203.5233,-1.53,-1
KONYA,14-09-2023,5420.1001,203435039.0,26414532619.92188,979934729.95845,196.2018,0.97,0
KONYA,15-09-2023,5424.2002,188634385.0,26434514199.84375,979836321.50949,200.7069,0.08,0
KONYA,18-09-2023,5120.1001,125496757.0,24952500619.92188,923140977.42959,195.7943,-5.61,-1
KONYA,19-09-2023,5158.7998,113075802.0,25141101320.15625,929691940.07027,190.5759,0.76,0
KONYA,20-09-2023,5156.3999,119028001.0,25129405540.07813,929355668.7258,193.8263,-0.05,0
KONYA,21-09-2023,5380.0,229996616.0,26219107200.0,969257993.32365,196.2974,4.34,1
KONYA,22-09-2023,5400.0,168717607.0,26316576000.0,969203028.78525,200.524,0.37,0
KONYA,25-09-2023,5505.0,233759933.0,26828287200.0,985464560.68175,202.6752,1.94,1
KONYA,26-09-2023,5410.0,313154270.0,26365310400.0,967186494.39834,206.2843,-1.73,-1
KONYA,27-09-2023,5321.0,153792481.0,25931574240.0,949418932.30721,195.7559,-1.65,-1
KONYA,28-09-2023,5238.2002,106002734.0,25528054359.84375,930848488.02508,193.0023,-1.56,-1
KONYA,29-09-2023,5297.0,103486813.0,25814611680.0,941245959.30869,192.2314,1.12,1
