Stock_Code,Date,Last_Price,Volume,PD,PD_USD,USD_Based_AOF,Changes_Percentage,Change_Status
KRDMD,01-09-2023,25.7072,3339012067.0,20145435123.20592,753765382.66306,0.956,3.28,1
KRDMD,04-09-2023,25.6276,2622289557.0,20083017102.60444,749839156.1322,0.9702,-0.31,0
KRDMD,05-09-2023,26.902,3664913071.0,21081706920.39112,786375576.5998,0.972,4.97,1
KRDMD,06-09-2023,26.7227,4720399019.0,20941266001.99704,780857325.10998,1.0048,-0.67,0
KRDMD,07-09-2023,27.1011,5095342932.0,21237751227.81332,790886386.59273,1.0131,1.42,1
KRDMD,08-09-2023,26.5834,2287975390.0,20832034837.9852,775664997.50475,1.0026,-1.91,-1
KRDMD,11-09-2023,26.0855,3077162961.0,20441921837.1852,760213830.46985,0.9958,-1.87,-1
KRDMD,12-09-2023,26.4041,2069933971.0,20691593919.59112,769015554.53276,0.9751,1.22,1
KRDMD,13-09-2023,25.6475,1636467937.0,20098621979.79556,745749566.05514,0.9687,-2.87,-1
KRDMD,14-09-2023,26.4241,1755972486.0,20707198796.78224,768202245.07083,0.9449,3.03,1
KRDMD,15-09-2023,25.8068,3261267675.0,20223458020.99852,749613878.49578,0.9784,-2.34,-1
KRDMD,18-09-2023,25.0103,1587846604.0,19599277814.98372,725093518.86732,0.9401,-3.09,-1
KRDMD,19-09-2023,25.9661,2298695648.0,20348294062.20148,752458881.68955,0.9462,3.82,1
KRDMD,20-09-2023,25.4882,2028758342.0,19973785938.5926,738686442.79474,0.956,-1.84,-1
KRDMD,21-09-2023,26.3444,2679944018.0,20644779288.01776,763188356.97478,0.9531,3.36,1
KRDMD,22-09-2023,27.3998,5169511883.0,21471819921.19112,790777375.48949,0.9951,4.01,1
KRDMD,25-09-2023,30.1278,4943762373.0,23609638986.99556,867236224.91168,1.0644,9.96,1
KRDMD,26-09-2023,29.1322,4878956754.0,22829412985.39556,837475439.48949,1.0964,-3.3,-1
KRDMD,27-09-2023,29.7893,3322121269.0,23344362027.39852,854694707.93863,1.0727,2.26,1
KRDMD,28-09-2023,29.3114,2615064303.0,22969853903.78964,837566916.58151,1.0834,-1.6,-1
KRDMD,29-09-2023,29.411,1948660594.0,23047876801.58224,840365959.36638,1.0789,0.34,0
