Stock_Code,Date,Last_Price,Volume,PD,PD_USD,USD_Based_AOF,Changes_Percentage,Change_Status
OYAKC,01-09-2023,62.6,558762896.0,72603067636.89566,2716530009.16306,2.3473,-1.26,-1
OYAKC,04-09-2023,65.05,836795441.0,75444566876.4587,2816872090.10379,2.4184,3.91,1
OYAKC,05-09-2023,69.5,1815838867.0,80605644149.5,3006697234.4612,2.5147,6.84,1
OYAKC,06-09-2023,69.9,2017263361.0,81069563295.60434,3022919547.30928,2.6562,0.58,0
OYAKC,07-09-2023,76.85,1963457088.0,89130124171.14566,3319174477.8497,2.7412,9.94,1
OYAKC,08-09-2023,74.45,1364897030.0,86346618143.0413,3215050755.59598,2.8151,-3.12,-1
OYAKC,11-09-2023,72.2,975630434.0,83737082900.7913,3114095095.92116,2.7606,-3.02,-1
OYAKC,12-09-2023,71.8,1540549408.0,83273172603.2087,3094897631.18375,2.7098,-0.55,0
OYAKC,13-09-2023,73.2,1673297065.0,84896876341.7913,3150057190.73542,2.7188,1.95,1
OYAKC,14-09-2023,72.9,1333068021.0,84548943618.60434,3136623593.73648,2.6925,-0.41,0
OYAKC,15-09-2023,70.25,1289774409.0,81475489230.25,3020015539.42028,2.6619,-3.64,-1
OYAKC,18-09-2023,66.3,778980230.0,76894308677.7087,2844776495.6607,2.5182,-5.62,-1
OYAKC,19-09-2023,66.85,774977805.0,77532189761.14566,2867060237.29941,2.4847,0.83,0
OYAKC,20-09-2023,69.0,1236680552.0,80025747429.0,2959575860.18284,2.5829,3.22,1
OYAKC,21-09-2023,72.7,1204228420.0,84316979621.2913,3116998067.38056,2.6039,5.36,1
OYAKC,22-09-2023,75.8,2576947860.0,87912346367.2087,3237689901.85943,2.7869,4.26,1
OYAKC,25-09-2023,83.35,3236999330.0,96668781537.64566,3550866203.99815,3.0117,9.96,1
OYAKC,26-09-2023,81.25,2841789863.0,94233217081.25,3456856509.6314,3.1378,-2.52,-1
OYAKC,27-09-2023,81.0,1756672139.0,93943268721.0,3439494920.78893,2.988,-0.31,0
OYAKC,28-09-2023,78.25,1032709346.0,90753836758.25,3309224844.87411,2.9105,-3.4,-1
OYAKC,29-09-2023,80.0,1507214289.0,92783475280.0,3383048030.33618,2.884,2.24,1
