Stock_Code,Date,Last_Price,Volume,PD,PD_USD,USD_Based_AOF,Changes_Percentage,Change_Status
PGSUS,01-09-2023,891.6,1742571904.0,91210416263.64856,3412746058.7153,32.9561,1.91,1
PGSUS,04-09-2023,893.1,1836026924.0,91363865824.14856,3411250595.493,33.495,0.17,0
PGSUS,05-09-2023,878.2,1736476703.0,89839603936.17572,3351136158.64162,32.8854,-1.67,-1
PGSUS,06-09-2023,869.9,1522351381.0,88990517616.85144,3318275864.49743,32.4899,-0.95,0
PGSUS,07-09-2023,863.9,1319379543.0,88376719374.85144,3291117948.20156,32.0989,-0.69,0
PGSUS,08-09-2023,848.0,1835362564.0,86750151536.0,3230076015.04263,32.1487,-1.84,-1
PGSUS,11-09-2023,830.1,1237579507.0,84918984283.14856,3158048780.13323,31.3547,-2.11,-1
PGSUS,12-09-2023,837.0,1661194638.0,85624854759.0,3182299315.37244,31.2491,0.83,0
PGSUS,13-09-2023,839.6,1517513980.0,85890831499.64856,3186937412.09565,31.3144,0.31,0
PGSUS,14-09-2023,852.0,1518633688.0,87159350364.0,3233465293.18801,30.9292,1.48,1
PGSUS,15-09-2023,803.1,2274231513.0,82156892194.14856,3045272798.49319,30.1933,-5.74,-1
PGSUS,18-09-2023,758.4,1680280746.0,77584100286.35144,2870295978.03742,28.7685,-5.57,-1
PGSUS,19-09-2023,753.4,1681138131.0,77072601751.35144,2850065147.74397,28.039,-0.66,0
PGSUS,20-09-2023,755.0,2180065058.0,77236278785.0,2856413511.47946,28.5825,0.21,0
PGSUS,21-09-2023,772.8,1817824517.0,79057212320.82428,2922556988.20453,27.9713,2.36,1
PGSUS,22-09-2023,767.2,1041472850.0,78484336459.17572,2890469360.77221,28.3324,-0.72,0
PGSUS,25-09-2023,800.0,1767395222.0,81839765600.0,3006162415.51572,28.6356,4.28,1
PGSUS,26-09-2023,794.9,1509019088.0,81318039591.85144,2983075429.45478,29.725,-0.64,0
PGSUS,27-09-2023,801.3,2362895593.0,81972753970.32428,3001224832.4183,29.7484,0.81,0
PGSUS,28-09-2023,829.1,2973013357.0,84816684576.14856,3092734036.21392,30.177,3.47,1
PGSUS,29-09-2023,824.2,1768621693.0,84315419758.17572,3074287893.17347,30.4314,-0.59,0
