Stock_Code,Date,Last_Price,Volume,PD,PD_USD,USD_Based_AOF,Changes_Percentage,Change_Status
SOKM,01-09-2023,62.1,818927400.0,36843308591.51129,1378536151.20298,2.3307,-0.08,0
SOKM,04-09-2023,61.5,533205452.0,36487335492.0,1362326821.46578,2.3337,-0.97,0
SOKM,05-09-2023,60.95,299003148.0,36161026440.24435,1348854157.05515,2.2841,-0.89,0
SOKM,06-09-2023,60.3,373440583.0,35775387029.75565,1333991603.8584,2.2395,-1.07,-1
SOKM,07-09-2023,66.0,1670723001.0,39157140528.0,1458198142.03947,2.4218,9.45,1
SOKM,08-09-2023,64.75,518048735.0,38415528018.0,1430373013.29262,2.4229,-1.89,-1
SOKM,11-09-2023,64.65,759106325.0,38356199922.48871,1426427216.46165,2.4252,-0.15,0
SOKM,12-09-2023,66.5,580155533.0,39453785532.0,1466323709.87044,2.4534,2.86,1
SOKM,13-09-2023,64.45,545741740.0,38237539205.02258,1418785242.97974,2.4184,-3.08,-1
SOKM,14-09-2023,64.45,536555755.0,38237539205.02258,1418548387.52245,2.3017,0.0,0
SOKM,15-09-2023,63.1,709215274.0,37436598599.51129,1387645665.97518,2.4069,-2.09,-1
SOKM,18-09-2023,61.85,429927860.0,36694986089.51129,1357565153.14507,2.2594,-1.98,-1
SOKM,19-09-2023,63.0,1070860482.0,37377270504.0,1382172828.74301,2.2837,1.86,1
SOKM,20-09-2023,61.3,350984110.0,36368677037.75565,1345015349.25648,2.3463,-2.7,-1
SOKM,21-09-2023,61.7,402597886.0,36605993946.24435,1353236476.18155,2.2896,0.65,0
SOKM,22-09-2023,60.5,450829200.0,35894045484.0,1321927958.95819,2.2327,-1.94,-1
SOKM,25-09-2023,61.5,485645069.0,36487335492.0,1340263572.28916,2.2287,1.65,1
SOKM,26-09-2023,61.55,592306558.0,36516999539.75565,1339591616.21713,2.2682,0.08,0
SOKM,27-09-2023,61.95,496140311.0,36754316448.24435,1345666235.18547,2.2713,0.65,0
SOKM,28-09-2023,59.0,1115287842.0,35004110472.0,1276380990.42827,2.1635,-4.76,-1
SOKM,29-09-2023,58.2,534180959.0,34529478918.24435,1259005283.97303,2.1368,-1.36,-1
