Stock_Code,Date,Last_Price,Volume,PD,PD_USD,USD_Based_AOF,Changes_Percentage,Change_Status
TCELL,01-09-2023,57.0,1559662858.0,125400000000.0,4691989942.52874,2.1269,2.15,1
TCELL,04-09-2023,58.35,3181524422.0,128369996643.0664,4792947666.36672,2.1817,2.37,1
TCELL,05-09-2023,58.85,1764441979.0,129469996643.0664,4829402270.27295,2.1763,0.86,0
TCELL,06-09-2023,57.45,1705748911.0,126390001678.4668,4712826751.82494,2.1704,-2.38,-1
TCELL,07-09-2023,59.0,1885039891.0,129800000000.0,4833706350.47723,2.193,2.7,1
TCELL,08-09-2023,58.95,1451337178.0,129690001678.4668,4828908726.90423,2.2124,-0.08,0
TCELL,11-09-2023,59.05,3132441860.0,129909998321.5332,4831217838.85775,2.2291,0.17,0
TCELL,12-09-2023,60.55,3520578272.0,133209998321.5332,4950829845.52241,2.2573,2.54,1
TCELL,13-09-2023,59.15,1906574285.0,130130003356.9336,4828410307.51973,2.2327,-2.31,-1
TCELL,14-09-2023,60.2,1516186257.0,132440001678.4668,4913301293.19049,2.176,1.78,1
TCELL,15-09-2023,56.55,1814257378.0,124409998321.5332,4611449796.00546,2.1593,-6.06,-1
TCELL,18-09-2023,54.05,2214758886.0,118909998321.5332,4399186027.43371,2.0704,-4.42,-1
TCELL,19-09-2023,54.0,1634956606.0,118800000000.0,4393101204.03514,1.9806,-0.09,0
TCELL,20-09-2023,53.4,1487288111.0,117480003356.9336,4344738951.64624,2.0052,-1.11,-1
TCELL,21-09-2023,55.4,1110632668.0,121880003356.9336,4505613657.2042,1.9996,3.75,1
TCELL,22-09-2023,54.45,1003712754.0,119790001678.4668,4411699776.02556,2.0118,-1.71,-1
TCELL,25-09-2023,55.2,2432527244.0,121440001678.4668,4460769970.55785,2.0162,1.38,1
TCELL,26-09-2023,53.0,2053794747.0,116600000000.0,4277360802.35365,1.9994,-3.99,-1
TCELL,27-09-2023,52.9,1169783526.0,116380003356.9336,4260959149.89267,1.9584,-0.19,0
TCELL,28-09-2023,51.7,1690623007.0,113740001678.4668,4147386522.21433,1.9083,-2.27,-1
TCELL,29-09-2023,53.3,1335741530.0,117259998321.5332,4275504934.06013,1.9308,3.09,1
