Stock_Code,Date,Last_Price,Volume,PD,PD_USD,USD_Based_AOF,Changes_Percentage,Change_Status
THYAO,01-09-2023,254.0,11604889435.0,350520000000.0,13115122126.43678,9.3483,3.67,1
THYAO,04-09-2023,252.7,9651057922.0,348725995788.5742,13020374631.33746,9.5271,-0.51,0
THYAO,05-09-2023,252.0,6243230384.0,347760000000.0,12971908373.02816,9.3768,-0.28,0
THYAO,06-09-2023,245.0,6840074057.0,338100000000.0,12607063087.5186,9.268,-2.78,-1
THYAO,07-09-2023,244.6,6135928315.0,337548008422.85156,12570169120.98981,9.1122,-0.16,0
THYAO,08-09-2023,243.3,7079807971.0,335754004211.4258,12501545377.79446,9.1768,-0.53,0
THYAO,11-09-2023,234.5,7003318332.0,323610000000.0,12034719613.82983,8.9094,-3.62,-1
THYAO,12-09-2023,236.0,8282209001.0,325680000000.0,12104093419.45842,8.832,0.64,0
THYAO,13-09-2023,231.7,5838627565.0,319745995788.5742,11864019227.13432,8.7166,-1.82,-1
THYAO,14-09-2023,238.5,7849781075.0,329130000000.0,12210169390.91982,8.5972,2.93,1
THYAO,15-09-2023,227.1,8573719849.0,313398008422.85156,11616583888.01644,8.5202,-4.78,-1
THYAO,18-09-2023,218.1,8726802287.0,300978008422.85156,11134961465.88426,8.1915,-3.96,-1
THYAO,19-09-2023,218.6,8850216170.0,301668008422.85156,11155371136.54304,8.0806,0.23,0
THYAO,20-09-2023,223.3,11025147436.0,308154004211.4258,11396396552.1467,8.3256,2.15,1
THYAO,21-09-2023,232.6,10192501630.0,320988008422.85156,11866162739.7018,8.3336,4.16,1
THYAO,22-09-2023,226.1,6577945587.0,312018008422.85156,11491190905.64699,8.4665,-2.79,-1
THYAO,25-09-2023,232.5,10738526394.0,320850000000.0,11785556861.59271,8.4471,2.83,1
THYAO,26-09-2023,227.5,11387047358.0,313950000000.0,11516959038.58429,8.5325,-2.15,-1
THYAO,27-09-2023,230.4,10423637540.0,317951991577.14844,11641007120.28838,8.4735,1.27,1
THYAO,28-09-2023,243.2,23586282556.0,335615995788.5742,12237816397.32991,8.7557,5.56,1
THYAO,29-09-2023,242.5,12939953245.0,334650000000.0,12201925180.48567,8.9809,-0.29,0
