Stock_Code,Date,Last_Price,Volume,PD,PD_USD,USD_Based_AOF,Changes_Percentage,Change_Status
TOASO,01-09-2023,280.5,2489887172.0,140250000000.0,5247620330.45977,10.3311,3.93,1
TOASO,04-09-2023,273.5,1389591361.0,136750000000.0,5105831662.50359,10.3989,-2.5,-1
TOASO,05-09-2023,273.0,960936187.0,136500000000.0,5091630701.97361,10.1664,-0.18,0
TOASO,06-09-2023,266.9,822139221.0,133449996948.24219,4976079652.63429,10.0513,-2.23,-1
TOASO,07-09-2023,270.0,847259856.0,135000000000.0,5027352521.68279,10.0258,1.16,1
TOASO,08-09-2023,286.2,3041822490.0,143100006103.51562,5328220058.21632,10.4283,6.0,1
TOASO,11-09-2023,293.5,2972632205.0,146750000000.0,5457480001.63631,10.8285,2.55,1
TOASO,12-09-2023,301.0,2903581420.0,150500000000.0,5593423174.98309,11.0174,2.56,1
TOASO,13-09-2023,296.0,2915535097.0,148000000000.0,5491467817.40127,11.0876,-1.66,-1
TOASO,14-09-2023,303.0,2722296629.0,151500000000.0,5620395171.28293,11.0126,2.36,1
TOASO,15-09-2023,290.6,1634404289.0,145300003051.7578,5385770263.42301,10.9835,-4.09,-1
TOASO,18-09-2023,282.0,1488979982.0,141000000000.0,5216426193.11876,10.5456,-2.96,-1
TOASO,19-09-2023,289.0,1340490052.0,144500000000.0,5343460639.5882,10.5415,2.48,1
TOASO,20-09-2023,277.8,1279048952.0,138899993896.48438,5136910083.59903,10.4328,-3.88,-1
TOASO,21-09-2023,282.9,1892085323.0,141449996948.2422,5229069744.89541,10.1923,1.84,1
TOASO,22-09-2023,278.0,1564114167.0,139000000000.0,5119177396.06965,10.3717,-1.73,-1
TOASO,25-09-2023,293.0,2077230782.0,146500000000.0,5381281222.45078,10.5094,5.4,1
TOASO,26-09-2023,292.0,2167998975.0,146000000000.0,5355872016.66924,10.792,-0.34,0
TOASO,27-09-2023,288.3,1594490561.0,144149993896.48438,5277687040.15598,10.6557,-1.27,-1
TOASO,28-09-2023,292.0,1915823231.0,146000000000.0,5323706904.41029,10.6421,1.28,1
TOASO,29-09-2023,295.5,1858979435.0,147750000000.0,5387223802.23146,10.7734,1.2,1
