Stock_Code,Date,Last_Price,Volume,PD,PD_USD,USD_Based_AOF,Changes_Percentage,Change_Status
TTKOM,01-09-2023,26.16,2121013035.0,91559999465.94238,3425826129.44289,0.9744,1.87,1
TTKOM,04-09-2023,26.04,3588937194.0,91140003204.3457,3402892241.91172,0.9817,-0.46,0
TTKOM,05-09-2023,25.68,2106824400.0,89880001068.11523,3352643025.14166,0.9652,-1.38,-1
TTKOM,06-09-2023,26.52,4251532725.0,92820001602.17285,3461069553.33384,0.9776,3.27,1
TTKOM,07-09-2023,26.52,2477331423.0,92820001602.17285,3456584215.68358,0.9907,0.0,0
TTKOM,08-09-2023,26.9,3115508471.0,94149998664.85596,3505603703.49838,1.0058,1.43,1
TTKOM,11-09-2023,25.86,2911702060.0,90510002136.23047,3365972924.06499,0.9989,-3.87,-1
TTKOM,12-09-2023,26.3,3113773089.0,92049997329.71191,3421093610.10726,0.9859,1.7,1
TTKOM,13-09-2023,25.42,1695205747.0,88970000267.02881,3301188467.43629,0.9665,-3.35,-1
TTKOM,14-09-2023,25.4,1829063201.0,88899998664.85596,3298040417.31363,0.9235,-0.08,0
TTKOM,15-09-2023,24.5,1499491815.0,85750000000.0,3178456919.39878,0.9301,-3.54,-1
TTKOM,18-09-2023,23.5,1318605125.0,82250000000.0,3042915279.31927,0.8957,-4.08,-1
TTKOM,19-09-2023,23.7,1338720561.0,82950002670.28809,3067405358.63267,0.8702,0.85,0
TTKOM,20-09-2023,22.64,1757159668.0,79239997863.76953,2930516644.6164,0.864,-4.47,-1
TTKOM,21-09-2023,23.34,1719497039.0,81690000534.05762,3019884902.57397,0.8472,3.09,1
TTKOM,22-09-2023,23.18,1497234474.0,81130001068.11523,2987905522.38131,0.86,-0.69,0
TTKOM,25-09-2023,23.94,1443135084.0,83790001869.20166,3077799069.54164,0.8683,3.28,1
TTKOM,26-09-2023,23.22,1286950545.0,81269997596.74072,2981313054.26822,0.8679,-3.01,-1
TTKOM,27-09-2023,23.04,1031109651.0,80640003204.3457,2952429537.6338,0.8514,-0.78,0
TTKOM,28-09-2023,22.56,1079741899.0,78959998130.79834,2879177309.73394,0.8345,-2.08,-1
TTKOM,29-09-2023,23.4,1912785840.0,81899998664.85596,2986217409.20499,0.8454,3.72,1
