Stock_Code,Date,Last_Price,Volume,PD,PD_USD,USD_Based_AOF,Changes_Percentage,Change_Status
VESTL,01-09-2023,68.1,670081763.0,22844571815.63435,854756787.88143,2.5406,-1.02,-1
VESTL,04-09-2023,67.3,887061068.0,22576208331.23131,842927380.745,2.5558,-1.17,-1
VESTL,05-09-2023,66.45,536829627.0,22291068450.01869,831486362.63671,2.4665,-1.26,-1
VESTL,06-09-2023,65.25,614378346.0,21888521943.75,816178577.45457,2.467,-1.81,-1
VESTL,07-09-2023,68.55,891143908.0,22995528674.98131,856345400.53034,2.4945,5.06,1
VESTL,08-09-2023,69.15,834489234.0,23196801928.11565,863715304.31975,2.5631,0.88,0
VESTL,11-09-2023,67.3,749489258.0,22576208331.23131,839585727.29451,2.5529,-2.68,-1
VESTL,12-09-2023,66.2,591069211.0,22207204381.26869,825344130.48355,2.4603,-1.63,-1
VESTL,13-09-2023,63.85,825024795.0,21418882646.88435,794737194.18959,2.4356,-3.55,-1
VESTL,14-09-2023,65.3,567946115.0,21905295781.23131,812649627.94955,2.3577,2.27,1
VESTL,15-09-2023,63.9,407412966.0,21435656484.36565,794545897.07974,2.4081,-2.14,-1
VESTL,18-09-2023,60.35,355194072.0,20244785684.38435,748974683.10708,2.3166,-5.56,-1
VESTL,19-09-2023,61.05,442352458.0,20479605332.81717,757314636.74885,2.2499,1.16,1
VESTL,20-09-2023,59.5,358780442.0,19959648362.5,738163595.70778,2.2574,-2.54,-1
VESTL,21-09-2023,61.9,448822250.0,20764743934.36565,767623164.44179,2.2217,4.03,1
VESTL,22-09-2023,64.1,432515177.0,21502746715.63435,791916366.47544,2.3323,3.55,1
VESTL,25-09-2023,64.75,477760330.0,21720793806.25,797854606.45937,2.3743,1.01,1
VESTL,26-09-2023,63.8,602427156.0,21402110089.06717,785116181.66924,2.3791,-1.47,-1
VESTL,27-09-2023,62.0,538266246.0,20798289050.0,761476692.50286,2.2993,-2.82,-1
VESTL,28-09-2023,62.15,1239272208.0,20848608003.11565,760218345.02418,2.3043,0.24,0
VESTL,29-09-2023,63.4,594018752.0,21267928346.86565,775465920.90956,2.3049,2.01,1
