Stock_Code,Date,Last_Price,Volume,PD,PD_USD,USD_Based_AOF,Changes_Percentage,Change_Status
YBTAS,01-09-2023,69019.0,905976.0,6901900000.0,258242786.159,2607.5517,-1.39,-1
YBTAS,04-09-2023,69000.0,1311055.0,6900000000.0,257625144.21408,2576.3602,-0.03,0
YBTAS,05-09-2023,68111.1016,1586111.0,6811110156.25,254063425.5391,2572.3497,-1.29,-1
YBTAS,06-09-2023,68500.0,1029561.0,6850000000.0,255422603.22243,2559.3505,0.57,0
YBTAS,07-09-2023,71011.0,1776309.0,7101100000.0,264442466.60535,2645.9655,3.67,1
YBTAS,08-09-2023,73000.0,3032720.0,7300000000.0,271809956.43594,2688.5958,2.8,1
YBTAS,11-09-2023,80300.0,3902901.0,8030000000.0,298627355.45581,2962.1391,10.0,1
YBTAS,12-09-2023,79299.8984,3238778.0,7929989843.75,294722850.29509,3167.6618,-1.25,-1
YBTAS,13-09-2023,76978.5,2366095.0,7697850000.0,285624969.85258,2926.4271,-2.93,-1
YBTAS,14-09-2023,76977.0,1539545.0,7697700000.0,285571722.17812,2855.7268,-0.0,0
YBTAS,15-09-2023,74450.0,1291995.0,7445000000.0,275960487.05451,2817.0479,-3.28,-1
YBTAS,18-09-2023,71990.0,1172657.0,7199000000.0,266333703.29264,2711.4716,-3.3,-1
YBTAS,19-09-2023,75050.7969,3151525.0,7505079687.5,277530089.32269,2774.765,4.25,1
YBTAS,20-09-2023,74449.6016,894148.0,7444960156.25,275335439.73469,2755.6745,-0.8,0
YBTAS,21-09-2023,81139.7969,2194780.0,8113979687.5,299954518.27494,2897.7072,8.99,1
YBTAS,22-09-2023,89253.3984,6492936.0,8925339843.75,328707899.13932,3231.4304,10.0,1
YBTAS,25-09-2023,85086.5,3621415.0,8508650000.0,312542242.13929,3244.4609,-4.67,-1
YBTAS,26-09-2023,84056.2969,3733362.0,8405629687.5,308352580.99839,3043.4413,-1.21,-1
YBTAS,27-09-2023,84000.0,1176451.0,8400000000.0,307544731.28279,3076.6269,-0.07,0
YBTAS,28-09-2023,82006.0,1490489.0,8200600000.0,299024594.79662,3019.3779,-2.37,-1
YBTAS,29-09-2023,80022.1016,2002382.0,8002210156.25,291774599.14862,2920.4137,-2.42,-1
